x, y
0,0.116352
1,0.117925
2,0.124214
3,0.124214
4,0.124214
5,0.124214
6,0.122642
7,0.128931
8,0.138365
9,0.149371
10,0.160377
11,0.172956
12,0.193396
13,0.221698
14,0.25
15,0.275157
16,0.319182
17,0.352201
18,0.383648
19,0.413522
20,0.438679
21,0.454403
22,0.471698
23,0.536164
24,0.59434
25,0.652516
26,0.698113
27,0.68239
28,0.688679
29,0.738994
