x, y
0,0.000000
1,0.052582
2,0.107355
3,0.155556
4,0.205947
5,0.236620
6,0.273865
7,0.300156
8,0.339593
9,0.372457
10,0.422848
11,0.457903
12,0.492958
13,0.534585
14,0.620031
15,0.683568
16,0.747105
17,0.834742
18,0.891706
19,0.933333
20,0.957433
21,0.985915
22,0.996870
23,1.029734
24,1.036307
25,1.121753
26,1.198435
27,1.277308
28,1.150235
29,1.112989
