x, y
0,0.0000000
1,0.0569640
2,0.1073552
3,0.1599374
4,0.2081377
5,0.2475743
6,0.2804382
7,0.3045383
8,0.3264476
9,0.3746479
10,0.4184664
11,0.4579030
12,0.4995305
13,0.5543036
14,0.6156495
15,0.6901408
16,0.7602504
17,0.8194053
18,0.8588419
19,0.8851330
21,0.8895149
21,0.8895149
22,0.8917058
23,0.9530516
24,1.0604069
25,1.1370892
26,1.1546166
27,1.0516432
28,0.9968701
29,1.0932707
