x, y
0,0.117925
1,0.119497
2,0.121069
3,0.121069
4,0.125786
5,0.127358
6,0.132075
7,0.136792
8,0.141509
10,0.165094
12,0.194969
14,0.240566
16,0.306604
18,0.382075
20,0.440252
22,0.495283
24,0.572327
25,0.635220
26,0.679245
27,0.668239
28,0.680818
29,0.657233
