x, y
0,-0.004382
1,0.052582
2,0.105164
3,0.155556
4,0.201565
5,0.238811
6,0.273865
7,0.300156
8,0.322066
10,0.411894
12,0.488576
14,0.591549
16,0.727387
18,0.845696
20,0.896088
22,0.913615
24,0.990297
25,1.084507
26,1.126135
27,1.051643
28,1.025352
29,0.950861
