x, y
0,0.0000000
1,0.4984472
2,0.8850932
3,1.3090062
4,1.6397516
5,1.9844720
6,2.1568323
7,2.2779503
8,2.3291925
9,2.4782609
10,2.5481366
11,2.5574534
12,2.5621118
13,2.5155280
14,2.4875776
15,2.4409938
16,2.3897516
17,2.3012422
18,2.2220497
19,2.1102484
20,2.0031056
21,1.9006211
22,1.8307453
23,1.7888199
24,1.7608696
25,1.7236025
26,1.6723602
27,1.5698758
28,1.5000000
29,1.4860248
