x, y
0,0.000000
2,0.102973
4,0.194992
6,0.265102
8,0.306729
10,0.396557
12,0.482003
13,0.495149
14,0.604695
15,0.576213
16,0.758059
17,0.810642
18,0.843505
19,0.863224
20,0.863224
21,0.812833
22,0.896088
23,0.964006
24,1.045070
25,1.110798
26,1.121753
27,0.979343
28,1.132707
29,1.073552
